Product ID,Process temperature [K],Tool wear [min],Target
M14860,308.6,0,0
L47181,308.7,3,0
L47182,308.5,5,0
L47183,308.6,7,0
L47184,308.7,9,0
M14865,308.6,11,0
L47186,308.6,14,0
L47187,308.6,16,0
M14868,308.7,18,0
M14869,309.0,21,0
H29424,308.9,24,0
H29425,309.1,29,0
M14872,309.1,34,0
M14873,309.2,37,0
L47194,309.2,40,0
L47195,309.2,42,0
M14876,309.2,44,0
M14877,309.2,47,0
H29432,309.2,50,0
M14879,309.3,55,0
H29434,309.3,58,0
L47201,309.3,63,0
M14882,309.3,65,0
L47203,309.4,68,0
M14884,309.4,70,0
L47205,309.5,73,0
L47206,309.5,75,0
H29441,309.4,77,0
L47208,309.4,82,0
L47209,309.4,84,0
M14890,309.5,86,0
L47211,309.4,89,0
L47212,309.4,91,0
L47213,309.3,93,0
M14894,309.1,95,0
M14895,309.2,98,0
M14896,309.2,101,0
L47217,309.1,104,0
H29452,309.2,106,0
L47219,309.1,111,0
L47220,309.1,113,0
L47221,309.1,115,0
M14902,309.1,117,0
H29457,309.2,120,0
M14904,309.1,125,0
L47225,309.1,128,0
M14906,309.0,130,0
L47227,309.1,133,0
H29462,309.2,135,0
M14909,309.2,140,0
L47230,309.1,143,1
L47231,309.1,145,0
H29466,309.0,147,0
L47233,309.0,152,0
L47234,309.0,154,0
L47235,309.1,156,0
L47236,309.1,158,0
L47237,309.1,160,0
M14918,309.0,162,0
L47239,309.1,165,0
L47240,309.1,167,0
M14921,309.0,169,0
L47242,309.0,172,0
M14923,309.0,174,0
L47244,309.1,177,0
L47245,309.1,179,0
M14926,308.9,181,0
H29481,308.9,184,0
L47248,308.9,189,0
L47249,309.0,191,1
M14930,309.0,193,0
L47251,309.1,196,0
L47252,309.1,198,0
L47253,309.1,200,0
L47254,309.0,202,0
L47255,308.9,204,0
L47256,308.9,206,0
L47257,308.9,208,1
L47258,308.9,0,0
L47259,308.9,2,0
H29494,308.8,4,0
L47261,308.9,9,0
L47262,308.9,11,0
L47263,309.0,13,0
L47264,308.9,15,0
M14945,309.0,17,0
H29500,309.0,20,0
L47267,309.0,25,0
M14948,309.0,27,0
M14949,308.9,30,0
L47270,308.9,33,0
L47271,308.9,35,0
M14952,308.9,37,0
L47273,309.0,40,0
L47274,308.9,42,0
M14955,309.0,44,0
M14956,309.0,47,0
M14957,308.9,50,0
L47278,308.8,53,0
L47279,308.8,55,0
L47280,308.9,57,0
L47281,308.8,59,0
L47282,308.8,61,0
M14963,308.8,63,0
L47284,308.7,66,0
L47285,308.7,68,0
L47286,308.7,70,0
M14967,308.8,72,0
H29522,308.8,75,0
L47289,308.7,80,0
L47290,308.6,82,0
H29525,308.6,84,0
M14972,308.7,89,0
M14973,308.6,92,0
L47294,308.6,95,0
L47295,308.6,97,0
L47296,308.7,99,0
L47297,308.6,101,0
M14978,308.6,103,0
L47299,308.5,106,0
L47300,308.7,108,0
L47301,308.7,110,0
L47302,308.8,112,0
L47303,308.7,114,0
L47304,308.7,116,0
L47305,308.6,118,0
L47306,308.6,120,0
L47307,308.6,122,0
L47308,308.6,124,0
L47309,308.5,126,0
L47310,308.4,128,0
L47311,308.4,130,0
M14992,308.4,132,0
M14993,308.4,135,0
L47314,308.4,138,0
M14995,308.5,140,0
H29550,308.5,143,0
L47317,308.6,148,0
H29552,308.6,150,0
L47319,308.6,155,0
L47320,308.6,157,0
L47321,308.5,159,0
M15002,308.4,161,0
H29557,308.4,164,0
M15004,308.4,169,0
L47325,308.4,172,0
H29560,308.4,174,0
L47327,308.4,179,0
M15008,308.3,181,0
L47329,308.3,184,0
L47330,308.3,186,0
M15011,308.2,188,0
M15012,308.2,191,0
L47333,308.2,194,0
L47334,308.2,196,0
H29569,308.2,198,0
M15016,308.1,203,0
H29571,308.2,206,0
M15018,308.2,211,0
L47339,308.2,214,0
L47340,308.2,216,1
L47341,308.1,218,1
L47342,308.1,0,0
M15023,308.2,2,0
M15024,308.3,5,0
L47345,308.4,8,0
H29580,308.2,10,0
H29581,308.3,15,0
L47348,308.3,20,1
L47349,308.3,22,0
M15030,308.2,24,0
L47351,308.1,27,0
M15032,308.0,29,0
M15033,308.0,32,0
L47354,308.1,35,0
L47355,308.1,37,0
L47356,308.1,39,0
L47357,308.2,41,0
L47358,308.2,43,0
L47359,308.3,45,0
L47360,308.3,47,0
H29595,308.3,49,0
M15042,308.2,54,0
L47363,308.2,57,0
L47364,308.2,59,0
L47365,308.2,61,0
L47366,308.3,63,0
L47367,308.4,65,0
L47368,308.5,67,0
M15049,308.4,69,0
L47370,308.4,72,0
L47371,308.4,74,0
H29606,308.4,76,0
H29607,308.4,81,0
M15054,308.5,86,1
L47375,308.5,89,0
H29610,308.6,91,0
M15057,308.6,96,0
L47378,308.7,99,0
L47379,308.6,101,0
L47380,308.6,103,0
L47381,308.5,105,0
M15062,308.5,107,0
L47383,308.5,110,0
L47384,308.5,112,0
M15065,308.6,114,0
L47386,308.7,117,0
M15067,308.7,119,1
L47388,308.6,122,0
L47389,308.6,124,0
L47390,308.7,126,0
L47391,308.7,128,0
H29626,308.7,130,0
L47393,308.7,135,0
M15074,308.6,137,0
L47395,308.6,140,0
L47396,308.6,142,0
L47397,308.5,144,0
L47398,308.6,146,0
M15079,308.5,148,0
L47400,308.5,151,0
H29635,308.5,153,0
L47402,308.6,158,0
L47403,308.6,160,0
L47404,308.6,162,0
L47405,308.5,164,0
L47406,308.4,166,0
L47407,308.5,168,0
M15088,308.5,170,0
L47409,308.5,173,0
L47410,308.6,175,0
L47411,308.4,177,0
L47412,308.4,179,0
L47413,308.4,181,0
L47414,308.4,183,0
M15095,308.3,185,0
L47416,308.3,188,0
M15097,308.1,190,0
L47418,308.1,193,0
L47419,308.2,195,0
M15100,308.1,197,0
L47421,308.1,200,0
L47422,308.2,202,1
L47423,308.2,204,0
M15104,308.2,206,0
M15105,308.1,209,0
L47426,308.1,212,0
L47427,308.2,214,0
L47428,308.3,216,1
L47429,308.3,218,1
L47430,308.3,0,0
M15111,308.2,2,0
L47432,308.2,5,0
L47433,308.2,7,0
L47434,308.2,9,0
L47435,308.2,11,0
L47436,308.3,13,0
L47437,308.0,15,0
L47438,308.2,17,0
M15119,308.2,19,1
M15120,308.3,22,0
L47441,308.2,25,0
M15122,308.2,27,0
M15123,308.1,30,0
L47444,308.2,33,0
L47445,308.1,35,0
H29680,308.1,37,0
L47447,308.0,42,0
H29682,308.0,44,0
L47449,308.0,49,0
H29684,308.0,51,0
M15131,308.1,56,0
L47452,308.1,59,0
L47453,308.0,61,0
L47454,308.0,63,0
L47455,308.0,65,0
M15136,307.9,67,0
H29691,308.0,70,0
M15138,308.0,75,0
L47459,308.1,78,0
M15140,308.1,80,0
L47461,308.0,83,0
M15142,308.1,85,0
L47463,308.2,88,0
L47464,308.3,90,0
L47465,308.3,92,0
L47466,308.3,94,0
L47467,308.3,96,0
H29702,308.4,98,0
L47469,308.4,103,0
L47470,308.4,105,0
L47471,308.3,107,0
L47472,308.4,109,0
H29707,308.5,111,0
M15154,308.5,116,0
M15155,308.6,119,0
L47476,308.5,122,0
L47477,308.5,124,0
H29712,308.5,126,0
M15159,308.3,131,0
L47480,308.4,134,0
L47481,308.4,136,0
H29716,308.4,138,0
M15163,308.4,143,0
L47484,308.4,146,0
L47485,308.4,148,0
L47486,308.4,150,0
M15167,308.4,152,0
L47488,308.5,155,0
M15169,308.5,157,0
H29724,308.6,160,0
M15171,308.6,165,0
L47492,308.6,168,0
L47493,308.6,170,0
M15174,308.5,172,0
L47495,308.4,175,0
L47496,308.4,177,0
L47497,308.4,179,0
L47498,308.4,181,0
L47499,308.4,183,0
H29734,308.4,185,0
L47501,308.4,190,0
L47502,308.5,192,0
L47503,308.5,194,0
M15184,308.5,196,0
L47505,308.5,199,0
L47506,308.5,201,0
L47507,308.5,203,1
H29742,308.4,205,0
H29743,308.5,210,0
M15190,308.4,215,0
M15191,308.4,218,0
M15192,308.3,0,0
L47513,308.2,3,0
M15194,308.1,5,0
L47515,308.1,8,0
M15196,308.2,10,0
L47517,308.3,13,0
L47518,308.2,15,0
M15199,308.2,17,0
L47520,308.1,20,0
M15201,308.2,22,0
L47522,308.2,25,0
L47523,308.3,27,0
M15204,308.2,29,0
L47525,308.3,32,0
M15206,308.3,34,0
L47527,308.3,37,0
L47528,308.3,39,0
L47529,308.3,41,0
H29764,308.3,43,0
M15211,308.4,48,0
M15212,308.4,51,0
